"";"Nombre.buscado";"Nombre.trivago";"Codigo";"Precio.mb";"Hotel.mb";"link";"Bloque.1";"Bloque.2";"Wifi.lobby";"Wifi.habitacion";"Piscina";"Spa";"Parqueadero";"Mascotas";"Aire.acondicionado";"Restaurante";"Bar";"Gimnasio";"Estrellas";"Puntaje";"Opinion.cualitativa";"cantidad.opiniones";"Latitud";"Longitud"
"1";"Hotel Santa Barbara boutique";"Hotel Santa Barbara Boutique";"3758032";"$257.294";"Booking.com";"https://www.trivago.com.co/?aDateRange%5Barr%5D=2020-10-09&aDateRange%5Bdep%5D=2020-10-13&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iRoomType=7&aRooms%5B0%5D%5Badults%5D=2&cpt2=3758032%2F100&hasList=1&hasMap=0&bIsSeoPage=0&sortingId=1&slideoutsPageItemId=&iGeoDistanceLimit=20000&address=&addressGeoCode=&offset=0&ra=";"NA= , = , ";"HabitaciÛn Doble - Desayuno incluido en el precio - ConexiÛn WiFi gratuita
Desayuno gratis
$185.018
/noche
Mostrar 11 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)
HabitaciÛn Est·ndar (cama doble) (cama matrimonial queen size)
CancelaciÛn gratuita
Desayuno gratis
$231.454
/noche
Mostrar 11 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)";"True";"True";"False";"False";"True";"False";"False";"False";"False";"False";"3";"8.9";"Excelente";"262";"4.702236";"-74.04351"
"2";"CASA COLONIAL INN";"Casa Colonial Inn";"999865";"NULL";"NULL";"https://www.trivago.com.co/?aDateRange%5Barr%5D=2020-10-09&aDateRange%5Bdep%5D=2020-10-13&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iRoomType=7&aRooms%5B0%5D%5Badults%5D=2&cpt2=999865%2F100&hasList=1&hasMap=0&bIsSeoPage=0&sortingId=1&slideoutsPageItemId=&iGeoDistanceLimit=20000&address=&addressGeoCode=&offset=0&ra=";"NA=NA , ";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"/";"PuntuaciÛn no disponible";"PuntuaciÛn";"4.702236";"-74.04351"
"3";"NA";"NULL";"NA";"NULL";"NULL";"NULL";"NA";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NA";"NA";"NA";"NA"
"4";"HOTEL SUITTES INN ECONOMICAS";"Hotel Suittes Economicas Inn";"18096360";"NULL";"NULL";"https://www.trivago.com.co/?aDateRange%5Barr%5D=2020-10-09&aDateRange%5Bdep%5D=2020-10-13&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iRoomType=7&aRooms%5B0%5D%5Badults%5D=2&cpt2=18096360%2F100&hasList=1&hasMap=0&bIsSeoPage=0&sortingId=1&slideoutsPageItemId=&iGeoDistanceLimit=20000&address=&addressGeoCode=&offset=0&ra=";"NA=NA , ";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"/";"PuntuaciÛn no disponible";"PuntuaciÛn";"4.702236";"-74.04351"
"5";"NA";"NULL";"NA";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NA";"NA";"NA";"NA"
"6";"NA";"NULL";"NA";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NA";"NA";"NA";"NA"
"7";"Ayenda 1053 Risot";"Ayenda 1053 Risot";"8452954";"$122.592";"lol.travel";"https://www.trivago.com.co/?aDateRange%5Barr%5D=2020-10-09&aDateRange%5Bdep%5D=2020-10-13&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iRoomType=7&aRooms%5B0%5D%5Badults%5D=2&cpt2=8452954%2F100&hasList=1&hasMap=0&bIsSeoPage=0&sortingId=1&slideoutsPageItemId=&iGeoDistanceLimit=20000&address=&addressGeoCode=&offset=0&ra=";"lol.travel 626 =122.550 , Booking.com 1662 = 130.950 , lol.travel 1662 = 122.550 , lol.travel 1662 = 122.550 , lol.travel 1662 = 122.550 , ";"DOUBLE STANDARD
CancelaciÛn gratuita
Desayuno gratis
$122.550
/noche
Mostrar 5 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis)
HabitaciÛn Cu·druple Cl·sica - °Reserva ahora y paga despuÈs! - Desayuno incluido en el precio - ConexiÛn WiFi gratuita
CancelaciÛn gratuita
Desayuno gratis
Paga en el hotel
$130.950
/noche
Mostrar 6 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)
HabitaciÛn Est·ndar (cama doble)
CancelaciÛn gratuita
Desayuno gratis
$157.771
/noche
Mostrar 8 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)";"True";"True";"False";"False";"False";"False";"False";"False";"True";"False";"NULL";"7.9";"Bueno";"49";"4.639431";"-74.098183"
"8";"Hotel IBIS BOGOTA MUSEO";"Hotel ibis Bogota Museo";"1727977";"$130.737";"Booking.com";"https://www.trivago.com.co/?aDateRange%5Barr%5D=2020-10-09&aDateRange%5Bdep%5D=2020-10-13&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iRoomType=7&aRooms%5B0%5D%5Badults%5D=2&cpt2=1727977%2F100&hasList=1&hasMap=0&bIsSeoPage=0&sortingId=1&slideoutsPageItemId=&iGeoDistanceLimit=20000&address=&addressGeoCode=&offset=0&ra=";"Booking.com 626 =109.843 , Booking.com 626 = 109.843 , Booking.com 626 = 126.899 , Booking.com 626 = 165.190 , Booking.com 626 = 148.177 , ";"HabitaciÛn Doble Est·ndar - 2 camas - ConexiÛn WiFi gratuita
Desayuno no incluido
$109.843
/noche
Mostrar 11 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)
HabitaciÛn est·ndar
Desayuno no incluido
$109.843
/noche
Mostrar 12 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)
ADVANCE SAVER RATE Habitacion Standard con 1 cama doble - P·gina del hotel
Desayuno no incluido
$130.737
/noche
Mostrar 15 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)";"True";"True";"False";"False";"True";"True";"False";"True";"False";"False";"3";"8.2";"Muy bueno";"1530";"4.614705";"-74.068802"
"9";"HOTEL DANN CARLTON BOGOTA";"Hotel Dann Carlton Bogot·";"103334";"$212.650";"lol.travel";"https://www.trivago.com.co/?aDateRange%5Barr%5D=2020-10-09&aDateRange%5Bdep%5D=2020-10-13&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iRoomType=7&aRooms%5B0%5D%5Badults%5D=2&cpt2=103334%2F100&hasList=1&hasMap=0&bIsSeoPage=0&sortingId=1&slideoutsPageItemId=&iGeoDistanceLimit=20000&address=&addressGeoCode=&offset=0&ra=";"lol.travel 626 =212.650 , Booking.com 1756 = 218.705 , ZenHotels.com 1756 = 253.926 , ZenHotels.com 1662 = 253.926 , lol.travel 1662 = 212.650 , ";"Ir a la web de reservas para m·s detalles.
Desayuno gratis
$212.650
/noche
Mostrar 9 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis)
HabitaciÛn Doble Est·ndar - 2 camas - Desayuno incluido en el precio - ConexiÛn WiFi gratuita
Desayuno gratis
$218.577
/noche
Mostrar 8 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)
HabitaciÛn Est·ndar (cama doble) (cama matrimonial queen size)
CancelaciÛn gratuita
Desayuno gratis
$253.926
/noche
Mostrar 10 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"5";"8.5";"Excelente";"1155";"4.688026";"-74.047142"
"10";"SOFITEL VICTORIA REGIA bogota ";"Sofitel Bogota Victoria Regia";"103339";"$628.354";"Prestigia";"https://www.trivago.com.co/?aDateRange%5Barr%5D=2020-10-09&aDateRange%5Bdep%5D=2020-10-13&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iRoomType=7&aRooms%5B0%5D%5Badults%5D=2&cpt2=103339%2F100&hasList=1&hasMap=0&bIsSeoPage=0&sortingId=1&slideoutsPageItemId=&iGeoDistanceLimit=20000&address=&addressGeoCode=&offset=0&ra=";"Prestigia 626 =493.055 , Booking.com 626 = 528.319 , Booking.com 626 = 692.913 , Booking.com 227 = 849.959 , Prestigia 227 = 638.801 , ";"HabitaciÛn CLASSIC CAMA QUEEN SIZE
Desayuno no incluido
$493.055
/noche
Mostrar 9 ofertas m·s (incl. Desayuno gratis)
HabitaciÛn Cl·sica con cama grande - ConexiÛn WiFi gratuita
Desayuno no incluido
$528.021
/noche
Mostrar 13 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)
Classic Queen Bed
Desayuno no incluido
$528.021
/noche
Mostrar 23 ofertas m·s (incl. CancelaciÛn gratuita, Desayuno gratis, Paga en el hotel)";"True";"True";"False";"True";"True";"False";"True";"True";"True";"True";"5";"9.0";"Excelente";"849";"4.670083";"-74.053116"
