"";"Nombre.buscado";"Nombre.trivago";"Precio.mb";"Hotel.mb";"Wifi.lobby";"Wifi.habitacion";"Piscina";"Spa";"Parqueadero";"Mascotas";"Aire.acondicionado";"Restaurante";"Bar";"Gimnasio";"Estrellas";"Puntaje";"Opinion.cualitativa";"cantidad.opiniones";"Latitud";"Longitud"
"1";"Hotel Santa Barbara boutique";"Hotel Santa Barbara Boutique";257294;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"False";"False";"False";"3";8,9;"Excelente";"262";"4.702236";"-74.04351"
"7";"Ayenda 1053 Risot";"Ayenda 1053 Risot";122592;"lol.travel";"True";"True";"False";"False";"False";"False";"False";"False";"True";"False";"3";7,9;"Bueno";"49";"4.639431";"-74.098183"
"8";"Hotel IBIS BOGOTA MUSEO";"Hotel ibis Bogota Museo";130737;"Booking.com";"True";"True";"False";"False";"True";"True";"False";"True";"False";"False";"3";8,2;"Muy bueno";"1530";"4.614705";"-74.068802"
"9";"HOTEL DANN CARLTON BOGOTA";"Hotel Dann Carlton Bogotá";212650;"lol.travel";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"5";8,5;"Excelente";"1155";"4.688026";"-74.047142"
"10";"SOFITEL VICTORIA REGIA bogota ";"Sofitel Bogota Victoria Regia";628354;"Prestigia";"True";"True";"False";"True";"True";"False";"True";"True";"True";"True";"5";9;"Excelente";"849";"4.670083";"-74.053116"
"12";"CASA DANN CARLTON";"Casa Dann Carlton";339762;"lol.travel";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"5";8,4;"Muy bueno";"2257";"4.680701";"-74.054047"
"13";"HOTEL CAPITAL BOGOTA COLOMBIA";"GHL Capital";228938;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"True";"True";"True";"4";8,9;"Excelente";"2242";"4.65831";"-74.108192"
"16";"LE MANOIR BOGOTA";"Le Manoir";149840;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"True";"True";"4";8,4;"Muy bueno";"1934";"4.690975";"-74.049187"
"17";"Embassy Suites By Hilton Bogota Rosales";"Embassy Suites By Hilton Bogota Rosales";462013;"lol.travel";"True";"False";"False";"True";"True";"False";"True";"True";"True";"True";"4";8,9;"Excelente";"650";"4.652354";"-74.055824"
"18";"HOTEL ANDES PLAZA";"Hotel Andes Plaza";168027;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"False";"True";"4";8;"Muy bueno";"1230";"4.685939";"-74.048141"
"20";"CASA MEDINA BOGOTA";"Four Seasons Casa Medina Bogotá";1575471;"Agoda";"True";"True";"False";"False";"True";"True";"False";"True";"True";"True";"5";9,1;"Excelente";"215";"4.652531";"-74.056427"
"21";"101 PARK HOUSE";"101 Park House";281480;"lol.travel";"True";"True";"True";"True";"True";"True";"False";"True";"True";"True";"5";9,1;"Excelente";"246";"4.687423";"-74.054192"
"22";"HOTEL HOLIDAY INN BOGOTA AIRPORT";"Holiday Inn Bogota Airport";253852;"lol.travel";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"4";8,8;"Excelente";"1425";"4.661713";"-74.109558"
"23";"HOTEL HAMPTON BY HILTON  BOGOTA USAQUEN";"Hampton by Hilton Bogotá - Usaquén";177066;"Agoda";"True";"True";"False";"False";"True";"False";"True";"False";"True";"True";"4";8,8;"Excelente";"282";"4.695683";"-74.031876"
"25";"Cora 127 plenitud";"Cora 127 Plenitud";260418;"Booking.com";"True";"True";"False";"False";"True";"True";"False";"False";"False";"True";"5";8,1;"Muy bueno";"256";"4.704585";"-74.043114"
"26";"Cora 96 street suites";"96 Street Suites";191135;"lol.travel";"True";"True";"False";"False";"True";"True";"False";"True";"True";"True";"4";7,8;"Bueno";"232";"4.67779";"-74.042763"
"27";"VIAGGIO NUEVE TREZ";"Viaggio Nueve Trez";211601;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"5";8,5;"Excelente";"286";"4.685238";"-74.051125"
"35";"VIAGGIO TELEPORT";"Viaggio Teleport";217570;"Booking.com";"True";"True";"False";"False";"False";"True";"False";"True";"False";"True";"4";8,7;"Excelente";"234";"4.717855";"-74.032677"
"37";"VIAGGIO URBANO";"Viaggio Urbano";225585;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"False";"False";"3";8,3;"Muy bueno";"347";"4.629306";"-74.063629"
"39";"BOGOTA REGENCY HOTEL";"Hotel Regency Suites";181628;"Booking.com";"True";"True";"False";"True";"False";"False";"False";"True";"False";"False";"4";8;"Muy bueno";"260";"4.630911";"-74.094498"
"40";"HOTEL HABITEL";"Hotel Habitel";242469;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"True";"True";"5";8,5;"Excelente";"2027";"4.688661";"-74.130852"
"41";"HOTEL COLOMBIANS SUITE";"Colombian's Suite International";124283;"ZenHotels.com";"True";"True";"False";"False";"True";"True";"False";"True";"True";"False";"3";8,3;"Muy bueno";"240";"4.632199";"-74.093658"
"42";"Tequendama Suites and Hotel";"Tequendama Suites and Hotel";215864;"Agoda";"True";"True";"False";"True";"True";"True";"False";"True";"False";"True";"5";8,2;"Muy bueno";"366";"4.565298";"-74.10392"
"43";"HOTEL  TEQUENDAMA";"Tequendama Bogota";213519;"Agoda";"False";"False";"False";"False";"False";"False";"True";"True";"True";"False";"5";7,6;"Bueno";"387";"4.565093";"-74.104561"
"47";"COSMOS 100";"Cosmos 100";216077;"lol.travel";"True";"True";"True";"True";"True";"False";"False";"True";"True";"True";"5";8,2;"Muy bueno";"1151";"4.685834";"-74.054161"
"48";"HOTEL DOUBLETREE BY HILTON BOGOTA CALLE 100";"Doubletree By Hilton Bogota - Calle 100";365600;"Prestigia";"True";"True";"True";"True";"True";"True";"True";"True";"True";"True";"4";8,6;"Excelente";"56";"4.68612";"-74.054588"
"50";"NH COLLECTION ROYAL WTC BOGOTA";"NH Collection Bogotá WTC Royal";295763;"NH Collection";"True";"True";"False";"True";"True";"False";"True";"True";"True";"True";"5";8,2;"Muy bueno";"410";"4.68039";"-74.040428"
"52";"HOTEL CAVIAR";"Hotel Caviar";138992;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"True";"False";"4";7,2;"Excelente";"47";"4.723473";"-74.046333"
"53";"ESTELAR APARTAMENTOS BOGOTA";"Estelar Apartamentos Bogotá";201453;"lol.travel";"True";"True";"False";"False";"True";"True";"False";"True";"False";"True";"3";8,3;"Muy bueno";"1079";"4.704275";"-74.042938"
"54";"HOTEL DE LA FERIA ESTELAR";"Estelar De la Feria";149054;"Prestigia";"True";"True";"False";"False";"True";"False";"False";"True";"True";"True";"3";7,5;"Bueno";"409";"4.63324";"-74.094551"
"55";"HOTEL ESTELAR LA FONTANA";"Hotel Estelar La Fontana";196337;"lol.travel";"False";"False";"False";"False";"True";"True";"True";"True";"False";"True";"5";8,5;"Excelente";"988";"4.704275";"-74.042938"
"56";"APARTAMENTOS ESTELAR AEROPUERTO";"Estelar Apartamentos Aeropuerto";151783;"lol.travel";"True";"True";"False";"False";"True";"False";"False";"True";"True";"True";"3";8;"Muy bueno";"214";"4.633654";"-74.090172"
"58";"Hotel Estelar Parque de la 93";"Hotel Estelar Parque de la 93";364364;"Prestigia";"True";"True";"True";"True";"True";"True";"True";"True";"True";"True";"5";9;"Excelente";"774";"4.674381";"-74.048027"
"59";"HOTEL ESTELAR WINDSOR HOUSE";"Estelar Windsor House";185081;"lol.travel";"False";"False";"False";"False";"True";"False";"False";"True";"True";"True";"4";8,6;"Excelente";"663";"4.677535";"-74.043427"
"60";"HOTEL ESTELAR CALLE 100";"Estelar Calle 100";256624;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"False";"True";"3";8,7;"Excelente";"570";"4.68461";"-74.046944"
"62";"HOTEL PLATINUM SUITE";"Hotel Platinum Suite";179411;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"False";"False";"3";8,5;"Excelente";"503";"4.626854";"-74.090843"
"63";"HOTEL SUITE CHICO";"Suite Chicó";139632;"ZenHotels.com";"True";"False";"False";"True";"False";"False";"True";"True";"False";"False";"5";8,5;"Excelente";"314";"4.684884";"-74.046135"
"64";"BOGOTA MARRIOTT";"Bogota Marriott Hotel";909034;"Agoda";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"5";9,1;"Excelente";"650";"4.659344";"-74.108437"
"65";"SONESTA HOTEL BOGOTA";"Sonesta Bogotá";233984;"Prestigia";"True";"True";"False";"True";"True";"False";"True";"True";"True";"True";"4";8,9;"Excelente";"1285";"4.703551";"-74.043625"
"66";"JW MARRIOTT";"JW Marriott Hotel Bogota";1098756;"Atrapalo";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"5";9,2;"Excelente";"540";"4.656838";"-74.055565"
"67";"HOTEL HILTON BOGOTA";"Hotel Hilton Bogotá";877356;"Prestigia";"True";"True";"True";"False";"True";"False";"True";"True";"True";"True";"5";9;"Excelente";"1319";"4.655799";"-74.055054"
"70";"HOLIDAY INN EXPRESS BOGOTA";"Holiday Inn Express Bogota - Parque La 93";286725;"lol.travel";"True";"True";"False";"False";"True";"False";"True";"True";"False";"True";"4";8,8;"Excelente";"647";"4.677316";"-74.046303"
"72";"santa barbara INN BOGOTA";"Santa Barbara Usaquen Inn";137029;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"5";8,5;"Excelente";"211";"4.69927";"-74.029892"
